日付,区分,時限,科目コード,科目名,担当教員,講義室
3(月),授業,5-6,LAH.S112,メディア論Ａ,柳瀬 博一Yanase Hiroichi,H101
3(月),期末試験,5-6,LAH.S306,心理学Ｃ,永岑 光恵Nagamine Mitsue,H136
3(月),授業&試験,5-6,LAH.T102,科学史Ａ,多久和 理実Takuwa Yoshimi,W641
3(月),授業&試験,5-6,LAH.T103,技術史Ａ,※小林 学,W521
3(月),授業&試験,5-6,LAH.T106,科学哲学Ａ,※田子山 和歌子,W933
3(月),授業,5-6,LAH.T109,言語学Ａ,"平川 八尋,山元 啓史",W621
3(月),授業,5-6,LAH.T111,教養特論：技術と美術の哲学,BEKTAS YAKUP,W323
3(月),授業,5-6,MEC.F211-01,実在流体力学 A,"青木 尊之,店橋 護 他",W241
3(月),期末試験,5-8,EPS.B212,電磁気学（地惑）,"奥住 聡,佐藤 文衛",I2-318
3(月),授業,5-8,MAT.A252,"材料科学実験（M, P, C）第三","宮内 雅浩,鞠谷 雄士 他","南7,8号館"
3(月),授業&試験,5-8,MEC.M333,宇宙開発工学,"岩田 隆敬,野田 篤司 他",I121
3(月),期末試験,7-8,CAP.C212,分離操作,谷口 泉Taniguchi Izumi,W933
3(月),期末試験,7-8,CSC.T272,人工知能,篠田 浩一Shinoda Koichi,W621
3(月),授業,7-8,CVE.A210,土木振動学,盛 川 仁Morikawa Hitoshi,M321
3(月),期末試験,7-8,ICT.H318,人工知能基礎（情報通信）,"奥村 学,中山 実",W935
3(月),授業&試験,7-8,LAE.E154-01,TOEFL対策セミナー（リスニング＆スピーキング）第四 1,※ANTHONY PAGE,W323
3(月),授業,7-8,LAH.T113,教養特論：未来社会デザイン入門,"中野 民夫,柳瀬 博一","""W9-716,(West Bidg.9 Rm716)"""
3(月),期末試験,7-8,LAS.D112,図学・図形デザイン第二,"安田 幸一, 奥山 信一 他",H121
3(月),期末試験,7-8,MAT.P327,繊維・複合材料B,鞠谷 雄士,S8-102
3(月),期末試験,7-8,MEC.F211-01,実在流体力学 A,"青木 尊之,店橋 護 他","W241,W242"
3(月),期末試験,7-8,PHY.C344,プラズマ物理学,河村 徹Kawamura Toru,H135
3(月),期末試験,7-8,TSE.A203-02,電気・磁気工学基礎,"髙田 潤一, CHOI SUNKYUNG 他",S513
3(月),期末試験,7-8,TSE.A203-03,電気・磁気工学基礎,"林﨑 規託,山下 幸彦 他",S622
3(月),授業,9-10,LAE.E311-17,英語第九 17 再履修,原田 大介Harada Daisuke,W331
4(火),授業,1-2,MEC.H231,デザイン工学,"齊藤 滋規, 葭田 貴子 他",石川台3号館201A号室，石川台5号館デザイン工房
4(火),授業,1-2,ARC.A205,建築数理,"大佛 俊泰, 田村 哲郎 他",M114
4(火),期末試験,1-2,ARC.P305,国土・都市計画論,"中井 検裕,十代田 朗",W933
4(火),期末試験,1-2,CAP.A355,触媒プロセス化学第二（均一系）,"桑田 繁樹,村橋 哲郎",S423
4(火),期末試験,1-2,CVE.D211,国土・都市計画概論,"朝倉 康夫,中井 検裕","W933,M111"
4(火),授業,1-2,ICT.M316,数値解析（情報通信）,"金子 寛彦,長谷川 晶一",W621
4(火),期末試験,1-2,IEE.B204,マクロ経済学第二,大土井 涼二,W935
4(火),期末試験,1-2,LAL.F204-01,フランス語初級４ F01 French: Basic Course 4 F01,JEAN FRANCOISE MARIE-MONIQUE,3ラボ
4(火),授業,1-2,LAS.C105-15,量子化学基礎 M,大島 康裕,W631
4(火),授業&試験,1-2,LAS.C105-18,量子化学基礎 P,腰原 伸也Koshihara Shinya,W611
4(火),授業,1-2,LAS.P104-12,電磁気学基礎２ L,平山 博之Hirayama Hiroyuki,H136
4(火),授業,1-2,LST.A248,遺伝学,"立花 和則, 若林 憲一 他",H121
4(火),期末試験,1-2,MAT.C316,生体材料学,"生駒 俊之,※陳 国平",S7-202
4(火),期末試験,3-4,ARC.E202,建築環境設備学（建築設備）,"湯淺 和博,鍵 直樹 他",W935
4(火),授業&試験,3-4,CAP.A331,上級有機化学第四（有機反応化学）,田中 健,S221
4(火),授業&試験,3-4,CAP.B219-01,物理化学（分子運動論） A,和田 裕之Wada Hiroyuki,S421
4(火),授業&試験,3-4,CAP.B219-02,物理化学（分子運動論） B,中嶋 健,S622
4(火),期末試験,3-4,CHM.C202,化学統計熱力学,西野 智昭,H113
4(火),期末試験,3-4,CHM.D331,合成有機化学,大森 建，鈴木 啓介,H104
4(火),授業,3-4,CSC.T375,システム構築演習,"佐伯 元司,小林 隆志 他",情報工学系計算機室
4(火),期末試験,3-4,CVE.B202,水理学第二,"鼎 信次郎,吉村 千洋",M114
4(火),期末試験,3-4,CVE.N301,土木史・土木技術者倫理,"朝倉 康夫,北詰 昌樹 他",M113
4(火),期末試験,3-4,EEE.P322,電力工学第二,"七原 俊也,河邊 賢一",S423
4(火),授業,3-4,ICT.I317,組み込みシステム,"長谷川 晶一,中原 啓貴",W621
4(火),授業,3-4,IEE.C301,経営情報システム,妹尾 大Senoo Dai,W933
4(火),期末試験,3-4,LAL.F204-03,フランス語初級４ F03 French: Basic Course 4 F03,JEAN FRANCOISE MARIE-MONIQUE,3ラボ
4(火),授業,3-4,LAS.C107-15,化学熱力学基礎 E,沖本 洋一,W241
4(火),期末試験,3-4,LAS.C107-17,化学熱力学基礎 G,河村 憲一Kawamura Kenichi,W521
4(火),期末試験,3-4,LAS.P104-05,電磁気学基礎２ E,陣 内  修 Jinnouchi Osamu,H101
4(火),期末試験,3-4,LAS.P104-14,電磁気学基礎２ N,大熊 哲,W631
4(火),授業,3-4,LAS.P104-16,電磁気学基礎２ P,西田 祐介,H114
4(火),授業,3-4,LST.A246,生命情報学,"伊藤 武彦,櫻井 実 他",H121
4(火),期末試験,3-4,MAT.C314,環境の科学,"宮内 雅浩,※徳留 弘優",S7-202
4(火),期末試験,3-4,MAT.M301,金属材料解析,"曽根 正人,稲邑 朋也 他",S8-101
4(火),授業,3-4,MCS.T232,複素解析,"西畑 伸也,梅原 雅顕 他",W932
4(火),期末試験,3-4,MTH.C331,複素解析続論,藤川 英華Fujikawa Ege,H136
4(火),授業,3-4,PHY.C341,物性物理学I,"平原 徹,平山 博之",H116
4(火),期末試験,3-4,TSE.A201-02,材料・物性工学基礎,"髙橋 邦夫,日野出 洋文 他",S515
4(火),期末試験,3-4,TSE.A201-03,材料・物性工学基礎,"髙橋 邦夫,日野出 洋文 他",S514
4(火),授業,3-4,ZUA.A203,代数学概論第二,内藤 聡,H112
4(火),授業,3-8,MEC.H331,機械設計製図,"大河 誠司,平田 敦 他Okawa Seiji","石川台3号館301,302,303,310号室,石川台6号館315号室"
4(火),授業,3-8,MEC.Q201,機械システム学,"赤坂 大樹,髙原 弘樹 他","石川台3号館,201A,201B,201C号,室"
4(火),授業,3-8,MTH.A204,代数学概論第四,"内藤 聡, KELLY SHANE ANDREW 他",H112
4(火),授業,5-6,TSE.A314,水・物質循環システム概論,木内 豪,S515
4(火),授業&試験,5-6,CAP.P342,生体高分子,澤田 敏樹Sawada Toshiki,S422
4(火),授業,5-6,CSC.T374,システム制御,石井 秀明Ishii Hideaki,W611
4(火),授業,5-6,CVE.M302,応用数値解析・演習,中村 恭志,W934
4(火),期末試験,5-6,EEE.C261,制御工学,"千葉 明,西方 敦博",S221
4(火),期末試験,5-6,ICT.C315,暗号技術とネットワークセキュリティ,尾形 わかは，北口 善明,W331
4(火),期末試験,5-6,ICT.H217,論理と推論,"奥村 学,篠﨑 隆宏",W323
4(火),授業,5-6,LAS.C107-16,化学熱力学基礎 F,伊原 学,W641
4(火),期末試験,5-6,MAT.M206,金属の電子構造と物性,"史 蹟,中村 吉男",S8-101
4(火),期末試験,5-6,MAT.P214,有機化学(反応)B,早川 晃鏡Hayakawa Teruaki,S8-102
4(火),授業,5-6,PHY.F352,宇宙物理学,河 合 誠 之 Kawai Nobuyuki,H135
4(火),期末試験,5-6,TSE.A305,電磁気学（融合理工）,"飯尾 俊二,片渕 竜也",S611
4(火),期末試験,5-6,TSE.M202-02,偏微分方程式と物理現象,木内 豪,S621
4(火),期末試験,5-7,ARC.S203,建築構造力学第一,"竹内 徹,田村 修次 他",W351
4(火),期末試験,5-8,IEE.B206,実験経済学,"大和 毅彦, 數村 友也",W935
4(火),授業,5-8,MAT.P352,有機材料工学実験第三,"森川 淳子,赤坂 修一 他","S8-108,S8-109"
4(火),授業,5-8,ZUA.A204,代数学演習Ａ第二,"内藤 聡,KELLY SHANE ANDREW 他",H112
4(火),授業,7-8,CAP.P343,高分子工業化学,芹澤 武,S421
4(火),授業,7-8,EEE.C341,集積回路工学,若 林 整 Wakabayashi Hitoshi,S221
4(火),授業,7-8,ICT.I216,計算機論理設計（情報通信）,"一色 剛, 渡辺 義浩",S422
4(火),期末試験,7-8,MAT.C206,セラミックスプロセシング,"中島 章,磯部 敏宏",S7-201
4(火),授業,7-8,PHY.L210,計算物理,※板橋 健太,南4号館情報ネットワーク演習室第２演習室
4(火),授業,7-8,TSE.A317,環境流体力学基礎,中村 恭志,S621
5(水),期末試験,1-2,EEE.S341,通信理論（電気電子）,"植之原 裕行,青柳 貴洋",S221
5(水),期末試験,1-2,LAE.E154-03,TOEFL対策セミナー（リスニング＆スピーキング）第四 3,安納 真理子Anno Mariko,W641
5(水),授業&試験,1-2,LAE.E254,TOEFL対策セミナー（リスニング＆スピーキング）第八,※原賀 真紀子,W371
5(水),授業,1-2,LAL.C204-09,中国語初級４ C09,※陳 焔,H116
5(水),期末試験,1-2,LAL.F204-04,フランス語初級４ F04,JEAN FRANCOISE MARIE-MONIQUE,4ラボ
5(水),授業,1-2,LAL.S354,スペイン語４,※大場 樹精,H118
5(水),期末試験,1-2,LAS.I122-05,コンピュータサイエンス第二 3a(CS2),※坂野 遼平,W351
5(水),授業,1-2,LAS.M107-09,微分積分学演習第二 W,PURKAIT SOMA,H111
5(水),期末試験,1-2,TSE.A204-02,反応工学基礎,"日野出 洋文,江頭 竜一 他",S622
5(水),期末試験,3-4,CAP.C211,エネルギー操作,森 伸介,S421
5(水),期末試験,3-4,LAE.E164,TOEIC対策セミナー第四,木内 久美子,W611
5(水),授業&試験,3-4,LAE.E258,TOEFL対策セミナー（リーディング＆ライティング）第八,※原賀 真紀子,W371
5(水),授業,3-4,LAL.C204-14,中国語初級４ C14,※陳 焔,W323
5(水),期末試験,3-4,LAL.R204-07,ロシア語初級４ R07,※鈴木 佑也,"1ラボ,Language Lab 1"
5(水),授業&試験,3-4,LAS.I122-08,コンピュータサイエンス第二 4b(CS2),永籐 直行Nagatou Naoyuki,W631
5(水),期末試験,3-4,MEC.C211-01,弾塑性力学 A,"井上 裕嗣,水谷 義弘","W241,W242"
5(水),期末試験,3-4,MEC.C211-02,弾塑性力学 B,"井上 裕嗣,水谷 義弘","W241,W242"
5(水),期末試験,3-4,TSE.M204-02,統計とデータ解析,"花岡 伸也,高橋 史武 他",S514
5(水),授業,5-6,LAE.E112-42,英語第二 再2,原田 大介Harada Daisuke,H137
5(水),授業&試験,5-6,LAE.E144,英語プレゼンテーション演習第四,※原賀 真紀子,W242
5(水),授業,5-6,LAE.E212-50,英語第六 再2,原田 大介Harada Daisuke,H137
5(水),期末試験,5-6,LAL.F234,フランス語セミナー（入門・基礎）４,JEAN FRANCOISE MARIE-MONIQUE,西3号館8階会議室
5(水),期末試験,5-6,MTH.C361,確率論,二宮 祥一Ninomiya Syoiti,H103
5(水),授業,5-8,LAE.E362,アカデミックライティング第十二,KIYAMA LORINDA ROBERTSON,H104
5(水),期末試験,7-8,CAP.C213,化学プロセスシステム第一（解析・合成）,松本 秀行Matsumoto Hideyuki,S421
5(水),授業,7-8,LAH.H159,人文学系ゼミ（博物館と歴史学）導入２,福留 真紀,W9-714
5(水),授業,7-8,LAH.H259,人文学系ゼミ（博物館と歴史学）２,福留 真紀,W9-714
5(水),授業,7-8,LAH.H367,人文学系ゼミ（博物館と歴史学）４,福留 真紀,W9-714
5(水),期末試験,7-8,LAL.F364,フランス語セミナー（応用・留学）４,JEAN FRANCOISE MARIE-MONIQUE,西3号館8階会議室
6(木),授業,1-2,CVE.D313,インフラストラクチャーの都市計画,室町 泰徳,M111
6(木),授業,1-2,LAE.E114-03,英語第四 3-LS-ADV,※NARUM PAUL TIMOTHY,W332
6(木),授業,1-2,LAE.E114-04,英語第四 4-LS,※YAMADA SUSAN KAY ADAMS,W371
6(木),授業,1-2,LAE.E114-05,英語第四 5-LS,※松井 恭子,H104
6(木),授業,1-2,LAE.E114-07,英語第四 7-LS,※中村 彰,3ラボ
6(木),授業,1-2,LAE.E114-13,英語第四 13-RW,※小堀 洋,H103
6(木),授業,1-2,LAE.E114-23,英語第四 23-LS-ADV,※STONEBURGH MARK,W322
6(木),授業,1-2,LAE.E114-28,英語第四 28-LS,※蒔田 裕美,H102
6(木),授業,1-2,LAE.E114-29,英語第四 29-LS,KIYAMA LORINDA ROBERTSON,W834
6(木),期末試験,1-2,LAE.E234,英語スピーキング演習第八,安納 真理子Anno Mariko,W833
6(木),授業&試験,1-2,LAE.E334,英語スピーキング演習第十二,※JONATHAN ABEL,H119B
6(木),期末試験,1-2,LAH.H203,文化人類学Ｂ,※田中 理恵子,W621
6(木),期末試験,1-2,LAH.H217,教養特論：アートとデザイン,※田中 みゆき,W9-714
6(木),授業,1-2,LAL.G204-01,ドイツ語初級４ D11,※小笠原 能仁,W611
6(木),期末試験,1-2,LAS.I122-10,コンピュータサイエンス第二 5b(CS2),※伊知地 宏,W323
6(木),期末試験,1-2,LAS.M105-07,微分積分学第二 O(21～30),※梶原 健,H101
6(木),期末試験,3-4,CAP.P212,高分子化学第二（連鎖重合）,佐藤 浩太郎Satoh Kotaro,W933
6(木),期末試験,3-4,CVE.M203,測量学,"千々和 伸浩,※新名 恭仁",M113
6(木),授業,3-4,LAE.E214-03,英語第八 3-LS-ADV,※NARUM PAUL TIMOTHY,W332
6(木),授業,3-4,LAE.E214-04,英語第八 4-LS,※YAMADA SUSAN KAY ADAMS,W322
6(木),授業,3-4,LAE.E214-06,英語第八 6-LS,※松井 恭子,H104
6(木),授業,3-4,LAE.E214-08,英語第八 8-LS,※中村 彰,3ラボ
6(木),授業,3-4,LAE.E214-13,英語第八 13-RW,※小堀 洋,H113
6(木),授業&試験,3-4,LAE.E214-25,英語第八 25-LS,※STONEBURGH MARK,W242
